Date,Category,Amount,Notes
2026-03-29,Groceries,15.0,Simulated grocery run 1
2026-03-29,Groceries,15.0,Simulated grocery run 2
2026-03-29,Groceries,15.0,Simulated grocery run 3
2026-03-29,Groceries,15.0,Simulated grocery run 1
2026-03-29,Groceries,15.0,Simulated grocery run 2
2026-03-29,Groceries,15.0,Simulated grocery run 3
2026-03-29,Groceries,15.0,Simulated grocery run 1
2026-03-29,Groceries,15.0,Simulated grocery run 2
2026-03-29,Groceries,15.0,Simulated grocery run 3
2026-03-29,Groceries,15.0,Simulated grocery run 1
2026-03-29,Groceries,15.0,Simulated grocery run 2
2026-03-29,Groceries,15.0,Simulated grocery run 3
2026-03-29,Groceries,15.0,Simulated grocery run 1
2026-03-29,Groceries,15.0,Simulated grocery run 2
2026-03-29,Groceries,15.0,Simulated grocery run 3
2026-03-29,Groceries,15.0,Simulated grocery run 1
2026-03-29,Groceries,15.0,Simulated grocery run 2
2026-03-29,Groceries,15.0,Simulated grocery run 3
2026-03-27,Miscellaneous,4.5,CSV: STARBUCKS STORE 492
2026-03-26,Master Pool,1500.0,CSV INCOME: PAYROLL ACH INVOICE
2026-03-25,Miscellaneous,15.99,CSV: NETFLIX SUBSCRIPTION
